category,n_strata,MH_odds_ratio,CMH_chi2,CMH_p,direction,CMH_p_holm
cross_device_acr,10,0.0,27.2971,1.7447732965059977e-07,agent>human,8.723866482529989e-07
native_recommendation,10,0.14685314685314685,14.5831,0.00013410886648148668,agent>human,0.0005364354659259467
identity_resolution,10,0.8909090909090908,0.0446,0.8327891702404121,agent>human,0.8327891702404121
audience_measurement,10,0.8767123287671232,0.0538,0.8165317347200005,agent>human,1.0
other,10,0.1410459587955626,32.2,1.3908941236274295e-08,agent>human,9.736258865392006e-08
open_rtb_exchange,10,1.2377622377622375,0.3473,0.5556458698135838,human>agent,1.0
platform_first_party_ad,10,12.523809523809522,28.0418,1.1872072357795985e-07,human>agent,7.123243414677592e-07
