cohort,id,task_id,M_P,M_T,M_X,M_F,n_records
human,P015,Apple--29,349,3,0,7,561
human,P015,ArXiv--17,23,0,0,0,189
human,P015,Booking--3,515,31,0,0,1047
human,P015,Coursera--21,524,27,1,0,1032
human,P015,GitHub--35,86,2,0,0,348
human,P015,Google Flights--34,168,2,0,0,338
human,P015,Google Map--35,1007,3,0,38,1163
human,P015,Google Search--28,131,3,0,0,152
human,P015,Huggingface--14,25,0,0,4,156
human,P016,Amazon--32,298,7,0,0,975
human,P016,Apple--29,210,2,0,0,218
human,P016,ArXiv--17,58,0,0,0,242
human,P016,Booking--3,1332,34,0,6,2567
human,P016,Coursera--21,733,27,1,0,1176
human,P016,GitHub--35,113,2,0,0,439
human,P016,Google Flights--34,146,2,0,0,297
human,P016,Google Map--35,665,3,0,68,859
human,P016,Google Search--28,500,112,3,0,1007
human,P016,Huggingface--14,36,0,0,4,152
human,P017,Amazon--32,431,5,0,0,1149
human,P017,Apple--29,286,2,0,5,313
human,P017,ArXiv--17,173,37,6,0,468
human,P017,Booking--3,685,30,1,0,1344
human,P017,Coursera--21,708,27,1,0,1420
human,P017,GitHub--35,195,2,1,0,567
human,P017,Google Flights--34,520,18,1,10,802
human,P017,Google Map--35,543,3,0,67,719
human,P017,Google Search--28,348,4,0,0,502
human,P017,Huggingface--14,35,0,0,4,204
human,P018,Amazon--32,690,5,0,0,1629
human,P018,Apple--29,225,2,0,2,284
human,P018,ArXiv--17,8,0,0,0,131
human,P018,Booking--3,792,34,1,4,1675
human,P018,Coursera--21,671,27,1,0,1349
human,P018,GitHub--35,175,2,1,0,526
human,P018,Google Flights--34,163,2,0,0,313
human,P018,Google Map--35,712,3,0,38,865
human,P018,Google Search--28,584,142,2,8,1353
human,P018,Huggingface--14,70,0,0,4,246
human,P019,Amazon--32,1034,4,0,0,1962
human,P019,Apple--29,361,2,0,0,444
human,P019,ArXiv--17,6,0,0,0,99
human,P019,Booking--3,694,34,1,0,1429
human,P019,Coursera--21,875,28,1,0,1399
human,P019,GitHub--35,150,2,1,0,476
human,P019,Google Flights--34,175,2,0,0,332
human,P019,Google Map--35,2728,3,0,110,2928
human,P019,Google Search--28,523,127,1,4,1067
