agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,Allrecipes--15,C8,1,1.0,success,1139,1139,1139,127,127,127,124,124,124,0,0,0,38,38,38,0,0,0,42.2,42.2,42.2
browser-use,Allrecipes--16,C0,1,1.0,success,1254,1254,1254,133,133,133,130,130,130,0,0,0,0,0,0,0,0,0,46.8,46.8,46.8
browser-use,Allrecipes--16,C2,1,1.0,success,834,834,834,121,121,121,118,118,118,0,0,0,24,24,24,0,0,0,29.7,29.7,29.7
browser-use,Allrecipes--16,C5,1,1.0,success,562,562,562,14,14,14,13,13,13,0,0,0,0,0,0,0,0,0,34.7,34.7,34.7
browser-use,Allrecipes--16,C7,1,1.0,success,1413,1413,1413,127,127,127,124,124,124,0,0,0,54,54,54,0,0,0,41.6,41.6,41.6
browser-use,Allrecipes--16,C8,1,1.0,success,977,977,977,125,125,125,122,122,122,0,0,0,31,31,31,0,0,0,39.3,39.3,39.3
browser-use,Allrecipes--17,C0,1,1.0,success,1018,1018,1018,161,161,161,158,158,158,0,0,0,0,0,0,0,0,0,52.7,52.7,52.7
browser-use,Allrecipes--17,C2,1,1.0,success,141,141,141,14,14,14,13,13,13,0,0,0,4,4,4,0,0,0,71.7,71.7,71.7
browser-use,Allrecipes--17,C5,1,1.0,success,566,566,566,16,16,16,15,15,15,0,0,0,0,0,0,0,0,0,35.4,35.4,35.4
browser-use,Allrecipes--17,C7,1,1.0,success,95,95,95,11,11,11,10,10,10,0,0,0,5,5,5,0,0,0,65.3,65.3,65.3
browser-use,Allrecipes--17,C8,1,1.0,success,904,904,904,130,130,130,127,127,127,0,0,0,27,27,27,0,0,0,42.3,42.3,42.3
browser-use,Allrecipes--18,C0,1,1.0,success,1509,1509,1509,139,139,139,136,136,136,0,0,0,0,0,0,0,0,0,46.2,46.2,46.2
browser-use,Allrecipes--18,C2,1,1.0,success,1209,1209,1209,134,134,134,131,131,131,0,0,0,32,32,32,0,0,0,51.4,51.4,51.4
browser-use,Allrecipes--18,C5,1,1.0,success,197,197,197,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,59.5,59.5,59.5
browser-use,Allrecipes--18,C7,1,1.0,success,1143,1143,1143,124,124,124,121,121,121,0,0,0,40,40,40,0,0,0,44.0,44.0,44.0
browser-use,Allrecipes--18,C8,1,1.0,success,1141,1141,1141,139,139,139,136,136,136,0,0,0,31,31,31,0,0,0,39.7,39.7,39.7
browser-use,Allrecipes--19,C0,1,1.0,success,1087,1087,1087,109,109,109,106,106,106,0,0,0,0,0,0,0,0,0,36.3,36.3,36.3
browser-use,Allrecipes--19,C2,1,1.0,success,816,816,816,112,112,112,109,109,109,0,0,0,26,26,26,0,0,0,46.2,46.2,46.2
browser-use,Allrecipes--19,C5,1,1.0,success,201,201,201,15,15,15,14,14,14,0,0,0,0,0,0,0,0,0,52.5,52.5,52.5
browser-use,Allrecipes--19,C7,1,1.0,success,1032,1032,1032,110,110,110,107,107,107,0,0,0,38,38,38,0,0,0,35.2,35.2,35.2
browser-use,Allrecipes--19,C8,1,1.0,success,1100,1100,1100,119,119,119,116,116,116,0,0,0,42,42,42,0,0,0,32.8,32.8,32.8
browser-use,Allrecipes--2,C0,1,1.0,success,1581,1581,1581,134,134,134,131,131,131,0,0,0,0,0,0,0,0,0,64.4,64.4,64.4
browser-use,Allrecipes--2,C2,1,1.0,success,104,104,104,12,12,12,11,11,11,0,0,0,4,4,4,0,0,0,40.8,40.8,40.8
browser-use,Allrecipes--2,C5,1,1.0,success,1131,1131,1131,104,104,104,103,103,103,0,0,0,0,0,0,0,0,0,69.3,69.3,69.3
browser-use,Allrecipes--2,C7,1,1.0,success,105,105,105,13,13,13,12,12,12,0,0,0,4,4,4,0,0,0,41.2,41.2,41.2
browser-use,Allrecipes--2,C8,1,1.0,success,1068,1068,1068,123,123,123,120,120,120,0,0,0,38,38,38,0,0,0,41.4,41.4,41.4
browser-use,Allrecipes--20,C0,1,1.0,success,806,806,806,122,122,122,119,119,119,0,0,0,0,0,0,0,0,0,26.9,26.9,26.9
browser-use,Allrecipes--20,C2,1,1.0,success,700,700,700,110,110,110,107,107,107,0,0,0,26,26,26,0,0,0,32.0,32.0,32.0
browser-use,Allrecipes--20,C5,1,1.0,success,555,555,555,21,21,21,20,20,20,0,0,0,0,0,0,0,0,0,66.1,66.1,66.1
browser-use,Allrecipes--20,C7,1,1.0,success,786,786,786,118,118,118,115,115,115,0,0,0,25,25,25,0,0,0,38.2,38.2,38.2
browser-use,Allrecipes--20,C8,1,1.0,success,766,766,766,119,119,119,116,116,116,0,0,0,25,25,25,0,0,0,21.9,21.9,21.9
browser-use,Allrecipes--21,C0,1,1.0,success,779,779,779,120,120,120,117,117,117,0,0,0,0,0,0,0,0,0,21.8,21.8,21.8
browser-use,Allrecipes--21,C2,1,1.0,success,1155,1155,1155,132,132,132,129,129,129,0,0,0,40,40,40,0,0,0,39.5,39.5,39.5
browser-use,Allrecipes--21,C5,1,1.0,success,532,532,532,14,14,14,13,13,13,0,0,0,0,0,0,0,0,0,58.7,58.7,58.7
browser-use,Allrecipes--21,C7,1,1.0,success,1057,1057,1057,138,138,138,135,135,135,0,0,0,33,33,33,0,0,0,36.0,36.0,36.0
browser-use,Allrecipes--21,C8,1,1.0,success,742,742,742,116,116,116,113,113,113,0,0,0,24,24,24,0,0,0,23.1,23.1,23.1
browser-use,Allrecipes--22,C0,1,1.0,success,1250,1250,1250,132,132,132,129,129,129,0,0,0,0,0,0,0,0,0,37.6,37.6,37.6
browser-use,Allrecipes--22,C2,1,1.0,success,1470,1470,1470,130,130,130,127,127,127,0,0,0,54,54,54,0,0,0,49.3,49.3,49.3
browser-use,Allrecipes--22,C5,1,1.0,success,542,542,542,17,17,17,16,16,16,0,0,0,0,0,0,0,0,0,58.6,58.6,58.6
browser-use,Allrecipes--22,C7,1,1.0,success,1048,1048,1048,123,123,123,120,120,120,0,0,0,33,33,33,0,0,0,33.9,33.9,33.9
browser-use,Allrecipes--22,C8,1,1.0,success,1140,1140,1140,119,119,119,116,116,116,0,0,0,37,37,37,0,0,0,41.8,41.8,41.8
browser-use,Allrecipes--23,C0,1,1.0,success,565,565,565,103,103,103,100,100,100,0,0,0,0,0,0,0,0,0,34.8,34.8,34.8
