agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,ESPN--18,C2,1,1.0,success,368,368,368,46,46,46,38,38,38,0,0,0,16,16,16,0,0,0,49.1,49.1,49.1
browser-use,ESPN--18,C5,1,1.0,success,605,605,605,121,121,121,112,112,112,0,0,0,0,0,0,0,0,0,49.3,49.3,49.3
browser-use,ESPN--18,C7,1,1.0,success,246,246,246,46,46,46,37,37,37,0,0,0,8,8,8,0,0,0,37.4,37.4,37.4
browser-use,ESPN--18,C8,1,1.0,success,298,298,298,46,46,46,38,38,38,0,0,0,10,10,10,0,0,0,48.1,48.1,48.1
browser-use,ESPN--19,C0,1,1.0,success,1093,1093,1093,178,178,178,178,178,178,0,0,0,0,0,0,0,0,0,51.3,51.3,51.3
browser-use,ESPN--19,C2,1,1.0,success,94,94,94,13,13,13,12,12,12,0,0,0,4,4,4,0,0,0,69.5,69.5,69.5
browser-use,ESPN--19,C5,1,1.0,success,616,616,616,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,43.4,43.4,43.4
browser-use,ESPN--19,C7,1,1.0,success,103,103,103,12,12,12,12,12,12,0,0,0,3,3,3,0,0,0,36.4,36.4,36.4
browser-use,ESPN--19,C8,1,1.0,success,14,14,14,7,7,7,7,7,7,0,0,0,1,1,1,0,0,0,20.1,20.1,20.1
browser-use,ESPN--2,C0,1,1.0,success,597,597,597,52,52,52,44,44,44,0,0,0,0,0,0,0,0,0,49.9,49.9,49.9
browser-use,ESPN--2,C2,1,1.0,success,307,307,307,35,35,35,27,27,27,0,0,0,14,14,14,0,0,0,49.7,49.7,49.7
browser-use,ESPN--2,C5,1,1.0,success,1284,1284,1284,133,133,133,123,123,123,0,0,0,0,0,0,0,0,0,67.7,67.7,67.7
browser-use,ESPN--2,C7,1,1.0,success,39,39,39,10,10,10,9,9,9,0,0,0,6,6,6,0,0,0,29.4,29.4,29.4
browser-use,ESPN--2,C8,1,1.0,success,159,159,159,31,31,31,23,23,23,0,0,0,7,7,7,0,0,0,33.4,33.4,33.4
browser-use,ESPN--20,C0,1,1.0,success,616,616,616,102,102,102,91,91,91,0,0,0,0,0,0,0,0,0,38.8,38.8,38.8
browser-use,ESPN--20,C2,1,1.0,success,382,382,382,60,60,60,49,49,49,0,0,0,20,20,20,0,0,0,40.1,40.1,40.1
browser-use,ESPN--20,C5,1,1.0,success,733,733,733,112,112,112,101,101,101,0,0,0,0,0,0,0,0,0,44.6,44.6,44.6
browser-use,ESPN--20,C7,1,1.0,success,321,321,321,31,31,31,23,23,23,0,0,0,14,14,14,0,0,0,43.8,43.8,43.8
browser-use,ESPN--20,C8,1,1.0,success,378,378,378,57,57,57,46,46,46,0,0,0,15,15,15,0,0,0,38.6,38.6,38.6
browser-use,ESPN--21,C0,1,1.0,success,805,805,805,127,127,127,116,116,116,0,0,0,0,0,0,0,0,0,55.7,55.7,55.7
browser-use,ESPN--21,C2,1,1.0,success,517,517,517,62,62,62,51,51,51,0,0,0,33,33,33,0,0,0,48.2,48.2,48.2
browser-use,ESPN--21,C5,1,1.0,success,620,620,620,66,66,66,58,58,58,0,0,0,0,0,0,0,0,0,46.1,46.1,46.1
browser-use,ESPN--21,C7,1,1.0,success,547,547,547,59,59,59,48,48,48,0,0,0,28,28,28,0,0,0,40.8,40.8,40.8
browser-use,ESPN--21,C8,1,1.0,success,337,337,337,32,32,32,24,24,24,0,0,0,21,21,21,0,0,0,44.5,44.5,44.5
browser-use,ESPN--22,C0,1,1.0,success,790,790,790,65,65,65,57,57,57,0,0,0,0,0,0,0,0,0,59.1,59.1,59.1
browser-use,ESPN--22,C2,1,1.0,success,96,96,96,13,13,13,12,12,12,0,0,0,5,5,5,0,0,0,77.4,77.4,77.4
browser-use,ESPN--22,C5,1,1.0,success,636,636,636,69,69,69,61,61,61,0,0,0,0,0,0,0,0,0,46.0,46.0,46.0
browser-use,ESPN--22,C7,1,1.0,success,95,95,95,12,12,12,11,11,11,0,0,0,5,5,5,0,0,0,29.4,29.4,29.4
browser-use,ESPN--22,C8,1,1.0,success,147,147,147,31,31,31,23,23,23,0,0,0,7,7,7,0,0,0,35.8,35.8,35.8
browser-use,ESPN--23,C0,1,1.0,success,631,631,631,64,64,64,56,56,56,0,0,0,0,0,0,0,0,0,41.6,41.6,41.6
browser-use,ESPN--23,C2,1,1.0,success,144,144,144,15,15,15,14,14,14,0,0,0,4,4,4,0,0,0,28.3,28.3,28.3
browser-use,ESPN--23,C5,1,1.0,success,772,772,772,77,77,77,67,67,67,0,0,0,0,0,0,0,0,0,42.3,42.3,42.3
browser-use,ESPN--23,C7,1,1.0,success,142,142,142,16,16,16,16,16,16,0,0,0,4,4,4,0,0,0,48.8,48.8,48.8
browser-use,ESPN--23,C8,1,1.0,success,19,19,19,8,8,8,7,7,7,2,2,2,1,1,1,0,0,0,37.8,37.8,37.8
browser-use,ESPN--24,C0,1,1.0,success,958,958,958,137,137,137,124,124,124,0,0,0,0,0,0,0,0,0,41.3,41.3,41.3
browser-use,ESPN--24,C2,1,1.0,success,610,610,610,69,69,69,56,56,56,0,0,0,25,25,25,0,0,0,68.5,68.5,68.5
browser-use,ESPN--24,C5,1,1.0,success,735,735,735,140,140,140,127,127,127,0,0,0,0,0,0,0,0,0,48.3,48.3,48.3
browser-use,ESPN--24,C7,1,1.0,success,459,459,459,56,56,56,45,45,45,0,0,0,21,21,21,0,0,0,40.0,40.0,40.0
browser-use,ESPN--24,C8,1,1.0,success,659,659,659,68,68,68,55,55,55,0,0,0,29,29,29,0,0,0,53.6,53.6,53.6
browser-use,ESPN--25,C0,1,1.0,success,168,168,168,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,65.0,65.0,65.0
browser-use,ESPN--25,C2,1,1.0,success,39,39,39,12,12,12,12,12,12,0,0,0,6,6,6,0,0,0,28.9,28.9,28.9
browser-use,ESPN--25,C5,1,1.0,success,1233,1233,1233,190,190,190,190,190,190,0,0,0,0,0,0,0,0,0,47.1,47.1,47.1
browser-use,ESPN--25,C7,1,1.0,success,104,104,104,13,13,13,13,13,13,0,0,0,4,4,4,0,0,0,41.0,41.0,41.0
browser-use,ESPN--25,C8,1,1.0,success,371,371,371,35,35,35,24,24,24,0,0,0,14,14,14,0,0,0,37.6,37.6,37.6
browser-use,ESPN--26,C0,1,1.0,success,100,100,100,19,19,19,15,15,15,0,0,0,0,0,0,0,0,0,24.3,24.3,24.3
browser-use,ESPN--26,C2,1,1.0,success,308,308,308,35,35,35,26,26,26,0,0,0,14,14,14,0,0,0,43.2,43.2,43.2
browser-use,ESPN--26,C5,1,1.0,success,521,521,521,66,66,66,58,58,58,0,0,0,0,0,0,0,0,0,47.0,47.0,47.0
browser-use,ESPN--26,C7,1,1.0,success,51,51,51,12,12,12,11,11,11,0,0,0,5,5,5,0,0,0,79.7,79.7,79.7
browser-use,ESPN--26,C8,1,1.0,success,129,129,129,26,26,26,20,20,20,0,0,0,6,6,6,0,0,0,30.2,30.2,30.2
browser-use,ESPN--27,C0,1,1.0,success,884,884,884,149,149,149,138,138,138,0,0,0,0,0,0,0,0,0,42.3,42.3,42.3
browser-use,ESPN--27,C2,1,1.0,success,450,450,450,56,56,56,46,46,46,0,0,0,30,30,30,0,0,0,59.9,59.9,59.9
browser-use,ESPN--27,C5,1,1.0,success,1086,1086,1086,157,157,157,146,146,146,0,0,0,0,0,0,0,0,0,56.7,56.7,56.7
browser-use,ESPN--27,C7,1,1.0,success,581,581,581,54,54,54,44,44,44,0,0,0,30,30,30,0,0,0,63.5,63.5,63.5
browser-use,ESPN--27,C8,1,1.0,success,433,433,433,60,60,60,49,49,49,0,0,0,21,21,21,0,0,0,32.9,32.9,32.9
browser-use,ESPN--28,C0,1,1.0,success,1364,1364,1364,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,79.3,79.3,79.3
browser-use,ESPN--28,C2,1,1.0,success,104,104,104,12,12,12,12,12,12,0,0,0,4,4,4,0,0,0,40.8,40.8,40.8
browser-use,ESPN--28,C5,1,1.0,success,148,148,148,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,58.2,58.2,58.2
browser-use,ESPN--28,C7,1,1.0,success,51,51,51,12,12,12,11,11,11,0,0,0,5,5,5,0,0,0,37.3,37.3,37.3
browser-use,ESPN--28,C8,1,1.0,success,77,77,77,11,11,11,11,11,11,3,3,3,1,1,1,0,0,0,47.5,47.5,47.5
browser-use,ESPN--29,C0,1,1.0,success,939,939,939,160,160,160,146,146,146,0,0,0,0,0,0,0,0,0,51.7,51.7,51.7
browser-use,ESPN--29,C2,1,1.0,success,506,506,506,60,60,60,48,48,48,0,0,0,20,20,20,0,0,0,39.7,39.7,39.7
browser-use,ESPN--29,C5,1,1.0,success,711,711,711,144,144,144,134,134,134,0,0,0,0,0,0,0,0,0,28.4,28.4,28.4
browser-use,ESPN--29,C7,1,1.0,success,460,460,460,57,57,57,47,47,47,0,0,0,22,22,22,0,0,0,31.9,31.9,31.9
browser-use,ESPN--29,C8,1,1.0,success,576,576,576,65,65,65,55,55,55,0,0,0,31,31,31,0,0,0,53.2,53.2,53.2
browser-use,ESPN--3,C0,1,1.0,success,525,525,525,121,121,121,110,110,110,0,0,0,0,0,0,0,0,0,23.0,23.0,23.0
browser-use,ESPN--3,C2,1,1.0,success,313,313,313,59,59,59,48,48,48,0,0,0,14,14,14,0,0,0,44.0,44.0,44.0
browser-use,ESPN--3,C5,1,1.0,success,481,481,481,119,119,119,108,108,108,0,0,0,0,0,0,0,0,0,24.5,24.5,24.5
browser-use,ESPN--3,C7,1,1.0,success,41,41,41,11,11,11,10,10,10,0,0,0,6,6,6,0,0,0,65.7,65.7,65.7
browser-use,ESPN--3,C8,1,1.0,success,288,288,288,48,48,48,39,39,39,0,0,0,13,13,13,0,0,0,17.7,17.7,17.7
browser-use,ESPN--30,C0,1,1.0,success,413,413,413,59,59,59,51,51,51,0,0,0,0,0,0,0,0,0,76.8,76.8,76.8
browser-use,ESPN--30,C2,1,1.0,success,358,358,358,33,33,33,25,25,25,0,0,0,14,14,14,0,0,0,35.7,35.7,35.7
browser-use,ESPN--30,C5,1,1.0,success,318,318,318,63,63,63,55,55,55,0,0,0,0,0,0,0,0,0,67.8,67.8,67.8
browser-use,ESPN--30,C7,1,1.0,success,42,42,42,12,12,12,11,11,11,0,0,0,6,6,6,0,0,0,29.7,29.7,29.7
browser-use,ESPN--30,C8,1,1.0,success,458,458,458,56,56,56,46,46,46,0,0,0,19,19,19,0,0,0,42.3,42.3,42.3
browser-use,ESPN--31,C0,1,1.0,success,355,355,355,61,61,61,53,53,53,0,0,0,0,0,0,0,0,0,36.0,36.0,36.0
browser-use,ESPN--31,C2,1,1.0,success,49,49,49,12,12,12,11,11,11,0,0,0,5,5,5,0,0,0,38.4,38.4,38.4
browser-use,ESPN--31,C5,1,1.0,success,335,335,335,49,49,49,41,41,41,0,0,0,0,0,0,0,0,0,30.7,30.7,30.7
browser-use,ESPN--31,C7,1,1.0,success,94,94,94,11,11,11,11,11,11,0,0,0,5,5,5,0,0,0,68.5,68.5,68.5
browser-use,ESPN--31,C8,1,1.0,success,116,116,116,12,12,12,11,11,11,3,3,3,2,2,2,0,0,0,56.4,56.4,56.4
browser-use,ESPN--32,C0,1,1.0,success,578,578,578,128,128,128,115,115,115,0,0,0,0,0,0,0,0,0,31.3,31.3,31.3
browser-use,ESPN--32,C2,1,1.0,success,523,523,523,67,67,67,54,54,54,0,0,0,22,22,22,0,0,0,41.9,41.9,41.9
browser-use,ESPN--32,C5,1,1.0,success,299,299,299,62,62,62,52,52,52,0,0,0,0,0,0,0,0,0,20.7,20.7,20.7
browser-use,ESPN--32,C7,1,1.0,success,474,474,474,68,68,68,54,54,54,0,0,0,16,16,16,0,0,0,43.4,43.4,43.4
browser-use,ESPN--32,C8,1,1.0,success,347,347,347,49,49,49,38,38,38,0,0,0,13,13,13,0,0,0,39.1,39.1,39.1
browser-use,ESPN--33,C0,1,1.0,success,701,701,701,123,123,123,113,113,113,0,0,0,0,0,0,0,0,0,43.5,43.5,43.5
browser-use,ESPN--33,C2,1,1.0,success,46,46,46,10,10,10,9,9,9,0,0,0,4,4,4,0,0,0,38.5,38.5,38.5
browser-use,ESPN--33,C5,1,1.0,success,902,902,902,127,127,127,117,117,117,0,0,0,0,0,0,0,0,0,67.3,67.3,67.3
browser-use,ESPN--33,C7,1,1.0,success,588,588,588,62,62,62,50,50,50,0,0,0,29,29,29,0,0,0,45.3,45.3,45.3
browser-use,ESPN--33,C8,1,1.0,success,383,383,383,61,61,61,50,50,50,2,2,2,15,15,15,0,0,0,44.8,44.8,44.8
browser-use,ESPN--34,C0,1,1.0,success,724,724,724,120,120,120,109,109,109,0,0,0,0,0,0,0,0,0,28.4,28.4,28.4
browser-use,ESPN--34,C2,1,1.0,success,589,589,589,55,55,55,45,45,45,0,0,0,42,42,42,0,0,0,44.7,44.7,44.7
browser-use,ESPN--34,C5,1,1.0,success,677,677,677,79,79,79,68,68,68,0,0,0,0,0,0,0,0,0,37.8,37.8,37.8
browser-use,ESPN--34,C7,1,1.0,success,501,501,501,56,56,56,46,46,46,0,0,0,32,32,32,0,0,0,35.9,35.9,35.9
browser-use,ESPN--34,C8,1,1.0,success,575,575,575,54,54,54,44,44,44,0,0,0,38,38,38,0,0,0,36.6,36.6,36.6
browser-use,ESPN--35,C0,1,1.0,success,870,870,870,155,155,155,144,144,144,0,0,0,0,0,0,0,0,0,48.0,48.0,48.0
browser-use,ESPN--35,C2,1,1.0,success,467,467,467,60,60,60,49,49,49,0,0,0,21,21,21,0,0,0,36.1,36.1,36.1
browser-use,ESPN--35,C5,1,1.0,success,619,619,619,101,101,101,92,92,92,0,0,0,0,0,0,0,0,0,40.9,40.9,40.9
browser-use,ESPN--35,C7,1,1.0,success,465,465,465,59,59,59,48,48,48,0,0,0,21,21,21,0,0,0,45.2,45.2,45.2
browser-use,ESPN--35,C8,1,1.0,success,472,472,472,62,62,62,51,51,51,0,0,0,22,22,22,0,0,0,43.0,43.0,43.0
browser-use,ESPN--36,C0,1,1.0,success,1168,1168,1168,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,44.3,44.3,44.3
browser-use,ESPN--36,C2,1,1.0,success,91,91,91,12,12,12,11,11,11,0,0,0,3,3,3,0,0,0,29.6,29.6,29.6
browser-use,ESPN--36,C5,1,1.0,success,706,706,706,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,47.6,47.6,47.6
browser-use,ESPN--36,C7,1,1.0,success,144,144,144,15,15,15,15,15,15,0,0,0,4,4,4,0,0,0,70.9,70.9,70.9
browser-use,ESPN--36,C8,1,1.0,success,332,332,332,46,46,46,35,35,35,2,2,2,15,15,15,0,0,0,33.8,33.8,33.8
browser-use,ESPN--37,C0,1,1.0,success,648,648,648,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,68.3,68.3,68.3
browser-use,ESPN--37,C2,1,1.0,success,137,137,137,16,16,16,16,16,16,0,0,0,4,4,4,0,0,0,28.8,28.8,28.8
browser-use,ESPN--37,C5,1,1.0,success,153,153,153,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,50.9,50.9,50.9
browser-use,ESPN--37,C7,1,1.0,success,96,96,96,13,13,13,13,13,13,0,0,0,5,5,5,0,0,0,77.5,77.5,77.5
browser-use,ESPN--37,C8,1,1.0,success,76,76,76,12,12,12,12,12,12,3,3,3,2,2,2,0,0,0,20.5,20.5,20.5
browser-use,ESPN--38,C0,1,1.0,success,983,983,983,176,176,176,176,176,176,0,0,0,0,0,0,0,0,0,77.8,77.8,77.8
browser-use,ESPN--38,C2,1,1.0,success,47,47,47,10,10,10,10,10,10,0,0,0,5,5,5,0,0,0,74.5,74.5,74.5
browser-use,ESPN--38,C5,1,1.0,success,130,130,130,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,57.5,57.5,57.5
browser-use,ESPN--38,C7,1,1.0,success,108,108,108,11,11,11,11,11,11,0,0,0,3,3,3,0,0,0,64.2,64.2,64.2
browser-use,ESPN--38,C8,1,1.0,success,475,475,475,92,92,92,92,92,92,0,0,0,48,48,48,0,0,0,46.3,46.3,46.3
browser-use,ESPN--39,C0,1,1.0,success,1034,1034,1034,102,102,102,91,91,91,0,0,0,0,0,0,0,0,0,46.7,46.7,46.7
browser-use,ESPN--39,C2,1,1.0,success,38,38,38,10,10,10,9,9,9,0,0,0,5,5,5,0,0,0,28.1,28.1,28.1
browser-use,ESPN--39,C5,1,1.0,success,931,931,931,100,100,100,94,94,94,0,0,0,0,0,0,0,0,0,81.1,81.1,81.1
browser-use,ESPN--39,C7,1,1.0,success,485,485,485,67,67,67,55,55,55,0,0,0,24,24,24,0,0,0,37.1,37.1,37.1
browser-use,ESPN--39,C8,1,1.0,success,488,488,488,65,65,65,54,54,54,0,0,0,23,23,23,0,0,0,41.3,41.3,41.3
browser-use,ESPN--4,C0,1,1.0,success,577,577,577,124,124,124,113,113,113,0,0,0,0,0,0,0,0,0,38.3,38.3,38.3
browser-use,ESPN--4,C2,1,1.0,success,324,324,324,59,59,59,48,48,48,0,0,0,14,14,14,0,0,0,39.1,39.1,39.1
browser-use,ESPN--4,C5,1,1.0,success,555,555,555,80,80,80,70,70,70,0,0,0,0,0,0,0,0,0,31.6,31.6,31.6
browser-use,ESPN--4,C7,1,1.0,success,644,644,644,68,68,68,55,55,55,0,0,0,24,24,24,0,0,0,45.6,45.6,45.6
browser-use,ESPN--4,C8,1,1.0,success,196,196,196,34,34,34,25,25,25,0,0,0,7,7,7,0,0,0,43.7,43.7,43.7
browser-use,ESPN--40,C0,1,1.0,success,481,481,481,68,68,68,53,53,53,0,0,0,0,0,0,0,0,0,67.4,67.4,67.4
browser-use,ESPN--40,C2,1,1.0,success,104,104,104,11,11,11,10,10,10,0,0,0,4,4,4,0,0,0,71.8,71.8,71.8
browser-use,ESPN--40,C5,1,1.0,success,1143,1143,1143,123,123,123,113,113,113,0,0,0,0,0,0,0,0,0,47.8,47.8,47.8
browser-use,ESPN--40,C7,1,1.0,success,97,97,97,13,13,13,12,12,12,0,0,0,5,5,5,0,0,0,75.3,75.3,75.3
browser-use,ESPN--40,C8,1,1.0,success,340,340,340,52,52,52,42,42,42,0,0,0,14,14,14,0,0,0,32.6,32.6,32.6
browser-use,ESPN--41,C0,1,1.0,success,582,582,582,118,118,118,108,108,108,0,0,0,0,0,0,0,0,0,41.8,41.8,41.8
browser-use,ESPN--41,C2,1,1.0,success,57,57,57,10,10,10,9,9,9,0,0,0,4,4,4,0,0,0,44.5,44.5,44.5
browser-use,ESPN--41,C5,1,1.0,success,562,562,562,97,97,97,87,87,87,0,0,0,0,0,0,0,0,0,46.4,46.4,46.4
browser-use,ESPN--41,C7,1,1.0,success,93,93,93,12,12,12,11,11,11,0,0,0,4,4,4,0,0,0,29.5,29.5,29.5
browser-use,ESPN--41,C8,1,1.0,success,319,319,319,50,50,50,40,40,40,0,0,0,14,14,14,0,0,0,18.5,18.5,18.5
browser-use,ESPN--42,C0,1,1.0,success,567,567,567,56,56,56,48,48,48,0,0,0,0,0,0,0,0,0,28.2,28.2,28.2
browser-use,ESPN--42,C2,1,1.0,success,57,57,57,10,10,10,9,9,9,0,0,0,4,4,4,0,0,0,75.5,75.5,75.5
browser-use,ESPN--42,C5,1,1.0,success,572,572,572,60,60,60,52,52,52,0,0,0,0,0,0,0,0,0,21.9,21.9,21.9
browser-use,ESPN--42,C7,1,1.0,success,38,38,38,10,10,10,9,9,9,0,0,0,5,5,5,0,0,0,66.7,66.7,66.7
browser-use,ESPN--42,C8,1,1.0,success,498,498,498,31,31,31,23,23,23,0,0,0,6,6,6,0,0,0,52.1,52.1,52.1
browser-use,ESPN--43,C0,1,1.0,success,1235,1235,1235,141,141,141,132,132,132,0,0,0,0,0,0,0,0,0,65.4,65.4,65.4
browser-use,ESPN--43,C2,1,1.0,success,40,40,40,10,10,10,9,9,9,0,0,0,6,6,6,0,0,0,44.2,44.2,44.2
browser-use,ESPN--43,C5,1,1.0,success,684,684,684,57,57,57,46,46,46,0,0,0,0,0,0,0,0,0,38.0,38.0,38.0
browser-use,ESPN--43,C7,1,1.0,success,46,46,46,10,10,10,9,9,9,0,0,0,4,4,4,0,0,0,60.5,60.5,60.5
browser-use,ESPN--43,C8,1,1.0,success,442,442,442,49,49,49,39,39,39,0,0,0,15,15,15,0,0,0,30.2,30.2,30.2
browser-use,ESPN--5,C0,1,1.0,success,416,416,416,43,43,43,35,35,35,0,0,0,0,0,0,0,0,0,37.2,37.2,37.2
browser-use,ESPN--5,C2,1,1.0,success,41,41,41,12,12,12,11,11,11,0,0,0,6,6,6,0,0,0,30.6,30.6,30.6
browser-use,ESPN--5,C5,1,1.0,success,977,977,977,84,84,84,74,74,74,0,0,0,0,0,0,0,0,0,64.8,64.8,64.8
browser-use,ESPN--5,C7,1,1.0,success,97,97,97,14,14,14,13,13,13,0,0,0,5,5,5,0,0,0,32.7,32.7,32.7
browser-use,ESPN--5,C8,1,1.0,success,81,81,81,12,12,12,11,11,11,3,3,3,2,2,2,0,0,0,22.6,22.6,22.6
browser-use,ESPN--6,C0,1,1.0,success,677,677,677,122,122,122,111,111,111,0,0,0,0,0,0,0,0,0,61.0,61.0,61.0
browser-use,ESPN--6,C2,1,1.0,success,94,94,94,13,13,13,12,12,12,0,0,0,4,4,4,0,0,0,68.2,68.2,68.2
browser-use,ESPN--6,C5,1,1.0,success,817,817,817,142,142,142,129,129,129,0,0,0,0,0,0,0,0,0,71.1,71.1,71.1
browser-use,ESPN--6,C7,1,1.0,success,96,96,96,12,12,12,11,11,11,0,0,0,5,5,5,0,0,0,75.6,75.6,75.6
browser-use,ESPN--6,C8,1,1.0,success,391,391,391,91,91,91,91,91,91,0,0,0,41,41,41,0,0,0,38.4,38.4,38.4
browser-use,ESPN--7,C0,1,1.0,success,846,846,846,109,109,109,98,98,98,0,0,0,0,0,0,0,0,0,43.0,43.0,43.0
browser-use,ESPN--7,C2,1,1.0,success,548,548,548,63,63,63,51,51,51,0,0,0,33,33,33,0,0,0,44.6,44.6,44.6
browser-use,ESPN--7,C5,1,1.0,success,775,775,775,86,86,86,73,73,73,0,0,0,0,0,0,0,0,0,48.1,48.1,48.1
browser-use,ESPN--7,C7,1,1.0,success,574,574,574,32,32,32,24,24,24,0,0,0,41,41,41,0,0,0,54.0,54.0,54.0
browser-use,ESPN--7,C8,1,1.0,success,481,481,481,59,59,59,47,47,47,0,0,0,27,27,27,0,0,0,31.6,31.6,31.6
browser-use,ESPN--8,C0,1,1.0,success,883,883,883,58,58,58,50,50,50,0,0,0,0,0,0,0,0,0,38.0,38.0,38.0
browser-use,ESPN--8,C2,1,1.0,success,205,205,205,33,33,33,25,25,25,0,0,0,7,7,7,0,0,0,22.1,22.1,22.1
browser-use,ESPN--8,C5,1,1.0,success,765,765,765,133,133,133,122,122,122,0,0,0,0,0,0,0,0,0,58.2,58.2,58.2
browser-use,ESPN--8,C7,1,1.0,success,397,397,397,58,58,58,47,47,47,0,0,0,21,21,21,0,0,0,37.8,37.8,37.8
browser-use,ESPN--8,C8,1,1.0,success,209,209,209,31,31,31,23,23,23,0,0,0,7,7,7,0,0,0,26.3,26.3,26.3
browser-use,ESPN--9,C0,1,1.0,success,774,774,774,130,130,130,119,119,119,0,0,0,0,0,0,0,0,0,67.1,67.1,67.1
browser-use,ESPN--9,C2,1,1.0,success,675,675,675,54,54,54,44,44,44,0,0,0,33,33,33,0,0,0,64.4,64.4,64.4
browser-use,ESPN--9,C5,1,1.0,success,655,655,655,127,127,127,116,116,116,0,0,0,0,0,0,0,0,0,39.9,39.9,39.9
browser-use,ESPN--9,C7,1,1.0,success,646,646,646,60,60,60,49,49,49,0,0,0,34,34,34,0,0,0,49.4,49.4,49.4
browser-use,ESPN--9,C8,1,1.0,success,413,413,413,62,62,62,51,51,51,0,0,0,15,15,15,0,0,0,41.0,41.0,41.0
browser-use,GitHub--0,C0,1,1.0,success,169,169,169,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,18.2,18.2,18.2
browser-use,GitHub--0,C2,1,1.0,success,231,231,231,12,12,12,9,9,9,0,0,0,0,0,0,0,0,0,26.3,26.3,26.3
browser-use,GitHub--0,C5,1,1.0,success,253,253,253,12,12,12,9,9,9,0,0,0,0,0,0,0,0,0,39.7,39.7,39.7
browser-use,GitHub--0,C7,1,1.0,success,236,236,236,12,12,12,9,9,9,0,0,0,0,0,0,0,0,0,22.1,22.1,22.1
browser-use,GitHub--0,C8,1,1.0,success,146,146,146,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,12.6,12.6,12.6
browser-use,GitHub--1,C0,1,1.0,success,242,242,242,12,12,12,9,9,9,0,0,0,0,0,0,0,0,0,24.9,24.9,24.9
browser-use,GitHub--1,C2,1,1.0,success,37,37,37,10,10,10,9,9,9,0,0,0,5,5,5,0,0,0,54.6,54.6,54.6
browser-use,GitHub--1,C5,1,1.0,success,228,228,228,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,28.5,28.5,28.5
browser-use,GitHub--1,C7,1,1.0,success,251,251,251,12,12,12,9,9,9,0,0,0,0,0,0,0,0,0,30.1,30.1,30.1
browser-use,GitHub--1,C8,1,1.0,success,219,219,219,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,24.8,24.8,24.8
browser-use,GitHub--10,C0,1,1.0,success,323,323,323,16,16,16,13,13,13,0,0,0,0,0,0,0,0,0,56.1,56.1,56.1
browser-use,GitHub--10,C2,1,1.0,success,97,97,97,12,12,12,12,12,12,0,0,0,5,5,5,0,0,0,32.5,32.5,32.5
browser-use,GitHub--10,C5,1,1.0,success,718,718,718,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,34.8,34.8,34.8
browser-use,GitHub--10,C7,1,1.0,success,458,458,458,55,55,55,55,55,55,0,0,0,16,16,16,0,0,0,59.9,59.9,59.9
browser-use,GitHub--10,C8,1,1.0,success,269,269,269,13,13,13,10,10,10,2,2,2,0,0,0,0,0,0,27.7,27.7,27.7
browser-use,GitHub--11,C0,1,1.0,success,264,264,264,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,34.9,34.9,34.9
browser-use,GitHub--11,C2,1,1.0,success,206,206,206,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,24.3,24.3,24.3
browser-use,GitHub--11,C5,1,1.0,success,230,230,230,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,25.4,25.4,25.4
browser-use,GitHub--11,C7,1,1.0,success,320,320,320,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,35.5,35.5,35.5
browser-use,GitHub--11,C8,1,1.0,success,289,289,289,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,45.1,45.1,45.1
browser-use,GitHub--12,C0,1,1.0,success,137,137,137,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,17.4,17.4,17.4
browser-use,GitHub--12,C2,1,1.0,success,378,378,378,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,37.1,37.1,37.1
browser-use,GitHub--12,C5,1,1.0,success,293,293,293,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,53.3,53.3,53.3
