agent,task,condition,success_delta_pp,records_delta_pct,unique_hosts_delta_pct,third_party_hosts_delta_pct,rq3_blocks_search_delta_pct,rq3_blocks_offdomain_delta_pct,rq3_blocks_cmp_delta_pct,duration_seconds_delta_pct
fara-7b,Coursera--6,C5,0.0,-4.722792607802875,-2.5,-2.631578947368421,0.0,0.0,0.0,-1.288244766505643
fara-7b,Coursera--6,C7,100.0,-56.05749486652978,-77.5,-78.94736842105263,0.0,0.0,inf,-58.132045088566834
fara-7b,Coursera--6,C8,100.0,-47.94661190965092,-75.0,-76.31578947368422,0.0,0.0,inf,-7.085346215780996
fara-7b,Coursera--7,C2,0.0,2.7090694935217905,0.0,0.0,0.0,inf,0.0,-23.505976095617537
fara-7b,Coursera--7,C5,0.0,-5.889281507656066,0.0,0.0,0.0,0.0,0.0,-19.32270916334662
fara-7b,Coursera--7,C7,0.0,-64.19316843345112,-74.35897435897436,-75.67567567567568,0.0,0.0,inf,-47.808764940239044
fara-7b,Coursera--7,C8,0.0,-64.78209658421673,-74.35897435897436,-75.67567567567568,0.0,0.0,inf,-47.808764940239044
fara-7b,Coursera--8,C2,0.0,-6.415929203539823,-5.0,-5.263157894736842,0.0,inf,0.0,11.685823754789261
fara-7b,Coursera--8,C5,-100.0,-32.07964601769911,-2.5,-2.631578947368421,0.0,0.0,0.0,19.54022988505746
fara-7b,Coursera--8,C7,0.0,-42.36725663716815,-75.0,-76.31578947368422,0.0,0.0,inf,8.620689655172413
fara-7b,Coursera--8,C8,0.0,-66.26106194690266,-77.5,-78.94736842105263,0.0,0.0,inf,-40.03831417624521
fara-7b,Coursera--9,C2,0.0,-0.36231884057971014,-2.564102564102564,-2.7027027027027026,0.0,inf,0.0,10.410094637223978
fara-7b,Coursera--9,C5,0.0,-4.830917874396135,0.0,0.0,0.0,0.0,0.0,-0.9463722397476363
fara-7b,Coursera--9,C7,0.0,-47.82608695652174,-76.92307692307693,-78.37837837837837,0.0,0.0,inf,-11.356466876971602
fara-7b,Coursera--9,C8,0.0,-47.58454106280193,-76.92307692307693,-78.37837837837837,0.0,0.0,inf,-10.094637223974761
fara-7b,ESPN--0,C2,-100.0,-78.75968992248062,-72.41379310344827,-78.94736842105263,0.0,inf,0.0,-4.8169556840077075
fara-7b,ESPN--0,C5,0.0,19.379844961240313,24.137931034482758,27.631578947368425,0.0,0.0,0.0,-15.79961464354527
fara-7b,ESPN--0,C7,-100.0,-79.06976744186046,-73.5632183908046,-80.26315789473685,0.0,inf,0.0,-4.8169556840077075
fara-7b,ESPN--0,C8,-100.0,-65.73643410852713,-48.275862068965516,-51.31578947368421,0.0,inf,0.0,12.909441233140662
fara-7b,ESPN--1,C2,0.0,-51.75600739371534,-32.83582089552239,-35.714285714285715,0.0,inf,0.0,-23.604060913705577
fara-7b,ESPN--1,C5,0.0,81.51571164510166,113.43283582089552,135.71428571428572,0.0,0.0,0.0,-12.817258883248725
fara-7b,ESPN--1,C7,0.0,-48.79852125693161,-34.32835820895522,-37.5,0.0,inf,0.0,-25.380710659898476
fara-7b,ESPN--1,C8,0.0,-41.58964879852125,-5.970149253731343,-3.571428571428571,0.0,inf,0.0,-19.9238578680203
fara-7b,ESPN--10,C2,0.0,-83.85167464114832,-84.71337579617835,-89.04109589041096,0.0,inf,0.0,-16.96574225122349
fara-7b,ESPN--10,C5,100.0,100.83732057416267,26.751592356687897,27.397260273972602,0.0,0.0,0.0,-16.150081566068515
fara-7b,ESPN--10,C7,0.0,-83.3732057416268,-84.71337579617835,-89.04109589041096,0.0,inf,0.0,-17.292006525285473
fara-7b,ESPN--10,C8,0.0,-67.94258373205741,-70.70063694267516,-74.65753424657534,0.0,inf,0.0,-9.787928221859707
fara-7b,ESPN--11,C2,-100.0,-73.36065573770492,-37.83783783783784,-48.275862068965516,0.0,inf,0.0,-14.119601328903652
fara-7b,ESPN--11,C5,0.0,-2.2540983606557377,13.513513513513514,17.24137931034483,0.0,0.0,0.0,-36.21262458471761
fara-7b,ESPN--11,C7,-100.0,-72.3360655737705,-35.13513513513514,-44.827586206896555,0.0,inf,0.0,-13.621262458471763
fara-7b,ESPN--11,C8,-100.0,-45.49180327868852,24.324324324324326,27.586206896551722,0.0,inf,0.0,0.16611295681062177
fara-7b,ESPN--12,C2,-100.0,-68.27503015681545,-71.42857142857143,-75.69444444444444,0.0,inf,0.0,-14.00329489291598
fara-7b,ESPN--12,C5,0.0,-41.495778045838364,-24.025974025974026,-25.694444444444443,0.0,0.0,0.0,-40.69192751235585
fara-7b,ESPN--12,C7,0.0,-72.1351025331725,-74.02597402597402,-78.47222222222221,0.0,inf,0.0,-62.7677100494234
fara-7b,ESPN--12,C8,0.0,-90.10856453558505,-90.9090909090909,-93.05555555555556,0.0,inf,0.0,-61.44975288303131
fara-7b,ESPN--13,C2,-100.0,-76.29629629629629,-77.77777777777779,-81.28654970760235,0.0,inf,0.0,-14.090909090909086
fara-7b,ESPN--13,C5,0.0,-8.253968253968253,-9.444444444444445,-9.941520467836257,0.0,0.0,0.0,-24.090909090909086
fara-7b,ESPN--13,C7,-100.0,-75.02645502645503,-76.11111111111111,-79.53216374269006,0.0,inf,0.0,-10.3030303030303
fara-7b,ESPN--13,C8,0.0,-76.4021164021164,-75.0,-78.3625730994152,0.0,inf,0.0,-29.999999999999993
fara-7b,ESPN--14,C2,0.0,-45.24271844660194,51.724137931034484,66.66666666666666,0.0,inf,0.0,0.3367003367003415
fara-7b,ESPN--14,C5,0.0,69.12621359223301,434.48275862068965,590.4761904761905,0.0,0.0,0.0,3.1986531986531967
fara-7b,ESPN--14,C7,0.0,-37.4757281553398,65.51724137931035,85.71428571428571,0.0,inf,0.0,20.370370370370374
fara-7b,ESPN--14,C8,0.0,-60.58252427184466,55.172413793103445,76.19047619047619,0.0,inf,0.0,1.5151515151515127
fara-7b,ESPN--15,C2,0.0,-76.22377622377621,-67.14285714285714,-74.57627118644068,0.0,inf,0.0,-35.24904214559386
fara-7b,ESPN--15,C5,100.0,-40.20979020979021,-57.14285714285714,-62.71186440677966,0.0,0.0,0.0,-68.32694763729246
fara-7b,ESPN--15,C7,0.0,-75.52447552447552,-67.14285714285714,-74.57627118644068,0.0,inf,0.0,-34.48275862068966
fara-7b,ESPN--15,C8,0.0,4.895104895104895,0.0,-3.389830508474576,0.0,inf,0.0,-18.77394636015325
fara-7b,ESPN--16,C2,0.0,-80.97165991902834,-60.0,-69.23076923076923,0.0,inf,0.0,-21.09375
fara-7b,ESPN--16,C5,0.0,-9.986504723346828,-18.333333333333332,-21.153846153846153,0.0,0.0,0.0,-5.46875
fara-7b,ESPN--16,C7,0.0,-81.10661268556005,-61.66666666666667,-71.15384615384616,0.0,inf,0.0,-20.468750000000004
fara-7b,ESPN--16,C8,0.0,-59.64912280701754,-23.333333333333332,-28.846153846153843,0.0,inf,0.0,-7.499999999999996
fara-7b,ESPN--17,C2,0.0,-45.91346153846153,-2.4390243902439024,0.0,0.0,inf,0.0,8.368200836820085
fara-7b,ESPN--17,C5,100.0,58.894230769230774,119.51219512195121,146.875,0.0,0.0,0.0,262.1338912133891
fara-7b,ESPN--17,C7,0.0,-47.11538461538461,-2.4390243902439024,0.0,0.0,inf,0.0,12.552301255230125
fara-7b,ESPN--17,C8,0.0,-32.45192307692308,12.195121951219512,15.625,0.0,inf,0.0,-11.715481171548106
fara-7b,ESPN--18,C2,0.0,-81.83060109289617,-82.97872340425532,-87.78625954198473,0.0,inf,0.0,-18.688524590163933
fara-7b,ESPN--18,C5,0.0,68.0327868852459,53.90070921985816,54.19847328244275,0.0,0.0,0.0,21.803278688524586
fara-7b,ESPN--18,C7,0.0,-79.50819672131148,-80.1418439716312,-84.7328244274809,0.0,inf,0.0,-15.409836065573767
fara-7b,ESPN--18,C8,100.0,-73.49726775956285,-72.3404255319149,-76.33587786259542,0.0,inf,0.0,-69.67213114754098
fara-7b,ESPN--19,C2,-100.0,-18.67816091954023,-4.651162790697675,-5.714285714285714,0.0,inf,0.0,77.22772277227723
