agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
fara-7b,Google_Map--35,C0,3,google.com,802,76,69,0,0,0,agent_error,73.4,0
fara-7b,Google_Search--28,C0,1,google.com,246,13,10,0,0,0,success,26.7,0
fara-7b,Google_Search--28,C0,2,google.com,1619,305,301,0,0,0,agent_error,55.8,0
fara-7b,Google_Search--28,C0,3,google.com,266,13,10,0,0,0,success,26.3,0
fara-7b,Huggingface--14,C0,1,huggingface.co,128,10,8,0,0,0,success,23.9,0
fara-7b,Amazon--32,C1,1,amazon.com,1368,35,30,0,0,0,success,68.7,0
fara-7b,Apple--29,C1,1,apple.com,200,3,0,0,0,0,success,83.8,0
fara-7b,ArXiv--17,C1,1,arxiv.org,97,6,4,0,0,0,success,81.4,0
fara-7b,Booking--3,C1,1,booking.com,699,54,47,0,0,0,hit_max_rounds,106.3,0
fara-7b,Coursera--21,C1,1,coursera.org,542,39,37,0,0,0,success,26.6,0
fara-7b,GitHub--35,C1,1,github.com,302,7,4,0,0,0,success,24.6,0
fara-7b,Google_Flights--34,C1,1,google.com,142,11,8,0,0,0,hit_max_rounds,106.8,0
fara-7b,Google_Map--35,C1,1,google.com,829,78,71,46,0,0,success,162.2,0
fara-7b,Google_Search--28,C1,1,google.com,236,19,16,1,0,0,success,55.2,0
fara-7b,Huggingface--14,C1,1,huggingface.co,128,10,8,0,0,0,success,23.3,0
fara-7b,Amazon--32,C2,1,amazon.com,1121,13,6,0,12,0,success,71.8,0
fara-7b,Amazon--32,C2,2,amazon.com,1136,14,9,0,6,0,success,53.6,0
fara-7b,Amazon--32,C2,3,amazon.com,1386,11,5,0,20,0,success,98.9,0
fara-7b,Apple--29,C2,1,apple.com,308,5,1,0,0,0,hit_max_rounds,98.2,0
fara-7b,ArXiv--17,C2,1,arxiv.org,85,7,5,0,7,0,hit_max_rounds,94.5,0
fara-7b,ArXiv--17,C2,2,arxiv.org,102,7,5,0,8,0,hit_max_rounds,94.8,0
fara-7b,ArXiv--17,C2,3,arxiv.org,91,7,5,0,5,0,hit_max_rounds,94.2,0
fara-7b,Booking--3,C2,1,booking.com,756,50,42,0,14,0,hit_max_rounds,102.9,0
fara-7b,Booking--3,C2,2,booking.com,678,47,39,0,10,0,hit_max_rounds,107.3,0
fara-7b,Booking--3,C2,3,booking.com,712,49,41,0,15,0,hit_max_rounds,104.0,0
fara-7b,Coursera--21,C2,1,coursera.org,842,38,36,0,2,0,success,30.3,0
fara-7b,Coursera--21,C2,2,coursera.org,832,39,37,0,2,0,success,34.5,0
fara-7b,Coursera--21,C2,3,coursera.org,826,39,37,0,2,0,success,30.9,0
fara-7b,GitHub--35,C2,1,github.com,180,5,2,0,5,0,hit_max_rounds,93.9,0
fara-7b,Google_Flights--34,C2,1,google.com,142,11,8,0,0,0,hit_max_rounds,107.6,0
fara-7b,Google_Map--35,C2,1,google.com,395,14,9,0,11,0,hit_max_rounds,98.6,0
fara-7b,Google_Map--35,C2,2,google.com,408,14,9,0,5,0,success,65.3,0
fara-7b,Google_Map--35,C2,3,google.com,375,14,9,0,8,0,hit_max_rounds,92.8,0
fara-7b,Google_Search--28,C2,1,google.com,104,7,4,0,10,0,hit_max_rounds,93.9,0
fara-7b,Google_Search--28,C2,2,google.com,66,6,3,0,4,0,success,37.4,0
fara-7b,Google_Search--28,C2,3,google.com,97,7,4,0,6,0,success,78.8,0
fara-7b,Huggingface--14,C2,1,huggingface.co,120,7,5,0,2,0,success,23.1,0
fara-7b,Amazon--32,C3,1,amazon.com,871,13,8,0,10,0,success,47.6,0
fara-7b,Apple--29,C3,1,apple.com,185,3,0,0,0,0,success,66.0,0
fara-7b,ArXiv--17,C3,1,arxiv.org,108,6,4,0,0,0,success,94.7,0
fara-7b,Booking--3,C3,1,booking.com,356,33,28,0,7,0,hit_max_rounds,104.3,0
fara-7b,Coursera--21,C3,1,coursera.org,654,38,36,0,1,0,success,43.8,0
fara-7b,GitHub--35,C3,1,github.com,323,7,4,0,0,0,success,31.3,0
fara-7b,Google_Flights--34,C3,1,google.com,143,11,8,0,0,0,hit_max_rounds,106.8,0
fara-7b,Google_Map--35,C3,1,google.com,354,12,7,35,0,0,hit_max_rounds,81.9,0
fara-7b,Google_Search--28,C3,1,google.com,167,5,2,3,0,0,hit_max_rounds,84.7,0
fara-7b,Huggingface--14,C3,1,huggingface.co,120,7,5,0,2,0,success,23.4,0
fara-7b,Amazon--32,C4,1,amazon.com,1380,35,29,0,0,0,success,68.7,0
fara-7b,Apple--29,C4,1,apple.com,294,3,0,0,0,0,success,91.7,0
fara-7b,ArXiv--17,C4,1,arxiv.org,234,12,10,0,0,0,success,39.7,0
fara-7b,Booking--3,C4,1,booking.com,624,54,47,0,0,4,hit_max_rounds,109.7,0
