agent,task,condition,success_delta_pp,records_delta_pct,unique_hosts_delta_pct,third_party_hosts_delta_pct,rq3_blocks_search_delta_pct,rq3_blocks_offdomain_delta_pct,rq3_blocks_cmp_delta_pct,duration_seconds_delta_pct
browser-use,Amazon--32,C1,0.0,-29.06610703043022,-1.8867924528301887,-2.0408163265306123,0.0,0.0,0.0,48.76033057851241
browser-use,Amazon--32,C2,0.0,-9.233997901364113,-67.9245283018868,-73.46938775510205,0.0,inf,0.0,31.40495867768597
browser-use,Amazon--32,C3,0.0,-0.7345225603357817,-69.81132075471697,-77.55102040816327,0.0,inf,0.0,63.63636363636365
browser-use,Amazon--32,C4,0.0,-20.566631689401888,-1.8867924528301887,-2.0408163265306123,0.0,0.0,0.0,40.771349862258965
browser-use,Amazon--32,C5,0.0,-25.813221406086047,1.8867924528301887,2.0408163265306123,0.0,0.0,0.0,34.435261707988985
browser-use,Amazon--32,C6,0.0,-20.98635886673662,1.8867924528301887,2.0408163265306123,0.0,0.0,0.0,53.168044077135
browser-use,Amazon--32,C7,0.0,-12.591815320041972,-75.47169811320755,-81.63265306122449,0.0,inf,0.0,1.6528925619834753
browser-use,Amazon--32,C8,0.0,20.566631689401888,-75.47169811320755,-81.63265306122449,0.0,inf,0.0,47.38292011019285
browser-use,ArXiv--17,C1,0.0,-89.98459167950693,-43.47826086956522,-47.61904761904761,inf,0.0,0.0,14.133333333333326
browser-use,ArXiv--17,C2,0.0,-83.82126348228043,-39.130434782608695,-38.095238095238095,0.0,inf,0.0,-7.466666666666659
browser-use,ArXiv--17,C3,0.0,-93.37442218798151,-56.52173913043478,-61.904761904761905,inf,0.0,0.0,-45.33333333333333
browser-use,ArXiv--17,C4,0.0,-25.731895223420647,-13.043478260869565,-14.285714285714285,0.0,0.0,0.0,40.533333333333346
browser-use,ArXiv--17,C5,0.0,-17.565485362095533,-17.391304347826086,-19.047619047619047,0.0,0.0,0.0,59.73333333333333
browser-use,ArXiv--17,C6,0.0,-90.75500770416025,-47.82608695652174,-52.38095238095239,0.0,0.0,0.0,60.79999999999999
browser-use,ArXiv--17,C7,0.0,-85.82434514637904,-52.17391304347826,-52.38095238095239,0.0,inf,0.0,-20.266666666666673
browser-use,ArXiv--17,C8,0.0,-88.28967642526965,-52.17391304347826,-52.38095238095239,inf,inf,0.0,16.799999999999994
browser-use,Booking--3,C1,0.0,-2.8125,0.0,0.0,0.0,0.0,0.0,-11.871227364185122
browser-use,Booking--3,C2,0.0,152.5,4.761904761904762,0.0,0.0,inf,0.0,-5.43259557344065
browser-use,Booking--3,C3,0.0,92.1875,-2.380952380952381,-8.108108108108109,0.0,inf,0.0,-5.633802816901417
browser-use,Booking--3,C4,0.0,135.9375,16.666666666666664,16.216216216216218,0.0,0.0,inf,10.060362173038229
browser-use,Booking--3,C5,0.0,-1.5625,0.0,0.0,0.0,0.0,0.0,-23.943661971830995
browser-use,Booking--3,C6,0.0,-8.4375,-9.523809523809524,-8.108108108108109,0.0,0.0,inf,-11.066398390342052
browser-use,Booking--3,C7,0.0,-52.1875,-66.66666666666666,-64.86486486486487,0.0,inf,0.0,46.27766599597585
browser-use,Booking--3,C8,0.0,146.25,-9.523809523809524,-13.513513513513514,0.0,inf,inf,-25.754527162977876
browser-use,Coursera--21,C1,0.0,10.10752688172043,0.0,0.0,0.0,0.0,0.0,24.54545454545455
browser-use,Coursera--21,C2,0.0,-27.741935483870968,0.0,0.0,0.0,0.0,0.0,25.454545454545453
browser-use,Coursera--21,C3,0.0,10.32258064516129,0.0,0.0,0.0,0.0,0.0,22.727272727272727
browser-use,Coursera--21,C4,0.0,9.67741935483871,0.0,0.0,0.0,0.0,0.0,31.818181818181817
browser-use,Coursera--21,C5,0.0,-1.0752688172043012,0.0,0.0,0.0,0.0,0.0,-40.303030303030305
browser-use,Coursera--21,C6,0.0,0.43010752688172044,0.0,0.0,0.0,0.0,0.0,-14.24242424242424
browser-use,Coursera--21,C7,0.0,1.0752688172043012,0.0,0.0,0.0,0.0,0.0,-21.21212121212121
browser-use,Coursera--21,C8,0.0,10.53763440860215,0.0,0.0,0.0,0.0,0.0,23.939393939393934
browser-use,Google_Map--35,C1,0.0,-83.97058823529412,-40.909090909090914,-50.0,inf,0.0,0.0,-0.49627791563274376
browser-use,Google_Map--35,C2,0.0,-86.02941176470588,-40.909090909090914,-50.0,0.0,inf,0.0,79.4044665012407
browser-use,Google_Map--35,C3,0.0,-88.67647058823529,-45.45454545454545,-66.66666666666666,inf,inf,0.0,31.01736972704715
browser-use,Google_Map--35,C4,0.0,43.08823529411765,218.18181818181816,261.11111111111114,0.0,0.0,0.0,70.9677419354839
browser-use,Google_Map--35,C5,0.0,-4.117647058823529,0.0,0.0,0.0,0.0,0.0,-4.714640198511163
browser-use,Google_Map--35,C6,0.0,-74.26470588235294,-27.27272727272727,-33.33333333333333,0.0,0.0,0.0,-22.82878411910669
browser-use,Google_Map--35,C7,0.0,-86.1764705882353,-45.45454545454545,-55.55555555555556,0.0,inf,0.0,-25.558312655086844
browser-use,Google_Map--35,C8,0.0,-75.88235294117646,-13.636363636363635,-16.666666666666664,0.0,inf,0.0,-27.29528535980148
browser-use,Google_Search--28,C1,0.0,-38.30146231721035,-10.87866108786611,-11.11111111111111,inf,0.0,0.0,-31.67539267015707
browser-use,Google_Search--28,C2,0.0,-94.71316085489315,-94.56066945606695,-96.15384615384616,0.0,inf,0.0,-60.07853403141361
browser-use,Google_Search--28,C3,0.0,-98.76265466816648,-96.23430962343096,-97.86324786324786,0.0,inf,0.0,-58.63874345549739
